file_name,s3_key,file_format,file_size_bytes,last_modified,file_url
JC-201604-citibike-tripdata.csv.zip,JC-201604-citibike-tripdata.csv.zip,zip,311199,2017-04-06T21:01:39.000Z,https://s3.amazonaws.com/tripdata/JC-201604-citibike-tripdata.csv.zip
JC-201605-citibike-tripdata.csv.zip,JC-201605-citibike-tripdata.csv.zip,zip,369535,2017-04-06T21:01:40.000Z,https://s3.amazonaws.com/tripdata/JC-201605-citibike-tripdata.csv.zip
JC-201606-citibike-tripdata.csv.zip,JC-201606-citibike-tripdata.csv.zip,zip,452907,2017-04-06T21:01:40.000Z,https://s3.amazonaws.com/tripdata/JC-201606-citibike-tripdata.csv.zip
JC-201607-citibike-tripdata.csv.zip,JC-201607-citibike-tripdata.csv.zip,zip,465773,2017-04-06T21:01:41.000Z,https://s3.amazonaws.com/tripdata/JC-201607-citibike-tripdata.csv.zip
JC-201608-citibike-tripdata.csv.zip,JC-201608-citibike-tripdata.csv.zip,zip,666337,2017-04-06T21:01:41.000Z,https://s3.amazonaws.com/tripdata/JC-201608-citibike-tripdata.csv.zip
JC-201609-citibike-tripdata.csv.zip,JC-201609-citibike-tripdata.csv.zip,zip,652630,2017-04-06T21:01:42.000Z,https://s3.amazonaws.com/tripdata/JC-201609-citibike-tripdata.csv.zip
JC-201610-citibike-tripdata.csv.zip,JC-201610-citibike-tripdata.csv.zip,zip,581361,2017-04-06T21:01:42.000Z,https://s3.amazonaws.com/tripdata/JC-201610-citibike-tripdata.csv.zip
JC-201611-citibike-tripdata.csv.zip,JC-201611-citibike-tripdata.csv.zip,zip,434377,2017-04-06T21:01:43.000Z,https://s3.amazonaws.com/tripdata/JC-201611-citibike-tripdata.csv.zip
JC-201612-citibike-tripdata.csv.zip,JC-201612-citibike-tripdata.csv.zip,zip,304997,2017-04-06T21:01:43.000Z,https://s3.amazonaws.com/tripdata/JC-201612-citibike-tripdata.csv.zip
JC-201701-citibike-tripdata.csv.zip,JC-201701-citibike-tripdata.csv.zip,zip,260769,2017-04-06T21:01:43.000Z,https://s3.amazonaws.com/tripdata/JC-201701-citibike-tripdata.csv.zip
JC-201702-citibike-tripdata.csv.zip,JC-201702-citibike-tripdata.csv.zip,zip,281945,2017-04-06T21:01:44.000Z,https://s3.amazonaws.com/tripdata/JC-201702-citibike-tripdata.csv.zip
JC-201703-citibike-tripdata.csv.zip,JC-201703-citibike-tripdata.csv.zip,zip,246627,2017-04-06T21:01:44.000Z,https://s3.amazonaws.com/tripdata/JC-201703-citibike-tripdata.csv.zip
JC-201704-citibike-tripdata.csv.zip,JC-201704-citibike-tripdata.csv.zip,zip,442528,2017-08-01T16:20:54.000Z,https://s3.amazonaws.com/tripdata/JC-201704-citibike-tripdata.csv.zip
JC-201705-citibike-tripdata.csv.zip,JC-201705-citibike-tripdata.csv.zip,zip,541466,2017-08-01T16:20:55.000Z,https://s3.amazonaws.com/tripdata/JC-201705-citibike-tripdata.csv.zip
JC-201706-citibike-tripdata.csv.zip,JC-201706-citibike-tripdata.csv.zip,zip,662240,2017-08-01T16:20:56.000Z,https://s3.amazonaws.com/tripdata/JC-201706-citibike-tripdata.csv.zip
JC-201707-citibike-tripdata.csv.zip,JC-201707-citibike-tripdata.csv.zip,zip,692715,2017-08-01T16:20:57.000Z,https://s3.amazonaws.com/tripdata/JC-201707-citibike-tripdata.csv.zip
